"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Какой знак предупреждает о разделении дороги?","Желтый ромб с двумя стрелками вверх","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с двумя стрелками вверх"
"Что показывает зеленый прямоугольник с белой 'I'?","Информационный центр","Предупреждение","Запрет","Остановка","Информационный центр"
"Какой знак запрещает движение мотоциклов?","Красный круг с мотоциклом и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с мотоциклом и чертой"
"Что означает желтый ромб с изображением воды?","Наводнение впереди","Стоп","Школьная зона","Обгон запрещен","Наводнение впереди"
"Какой знак указывает на конец школьной зоны?","Белый прямоугольник с 'End School Zone'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End School Zone'"
"Что показывает белая стрелка с двумя направлениями?","Движение в обе стороны","Движение прямо","Обгон разрешен","Остановка","Движение в обе стороны"
"Какой знак предупреждает о низкой высоте?","Желтый ромб с числом высоты","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с числом высоты"
"Что означает зеленый прямоугольник с белой 'Gas' надписью?","Заправка впереди","Предупреждение","Запрет","Остановка","Заправка впереди"
"Какой знак запрещает движение тракторов?","Красный круг с трактором и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с трактором и чертой"
"Что показывает желтый ромб с изображением собаки?","Животные впереди","Стоп","Школьная зона","Обгон запрещен","Животные впереди"
"Какой знак указывает на конец зоны 'No Passing'?","Белый прямоугольник с 'End No Passing'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End No Passing'"
"Что означает белая линия с 'Bike Lane'?","Полоса для велосипедов","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Полоса для велосипедов"
"Какой знак предупреждает о резком подъеме?","Желтый ромб с наклонной стрелкой вверх","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с наклонной стрелкой вверх"
"Что показывает зеленый прямоугольник с белой 'Food'?","Еда впереди","Предупреждение","Запрет","Остановка","Еда впереди"
"Какой знак запрещает движение автобусов?","Красный круг с автобусом и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с автобусом и чертой"
"Что означает желтый ромб с изображением ветра?","Сильный ветер впереди","Стоп","Школьная зона","Обгон запрещен","Сильный ветер впереди"
"Какой знак указывает на конец зоны парковки?","Белый прямоугольник с 'End Parking'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End Parking'"
"Что показывает белая линия с 'ONLY' и стрелкой?","Полоса с обязательным направлением","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Полоса с обязательным направлением"
"Какой знак предупреждает о круговом движении?","Желтый ромб с круговой стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с круговой стрелкой"
"Что означает зеленый прямоугольник с белой 'Rest Area'?","Зона отдыха впереди","Предупреждение","Запрет","Остановка","Зона отдыха впереди"
"Какой знак запрещает движение прицепов?","Красный круг с прицепом и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с прицепом и чертой"
"Что показывает желтый ромб с изображением снежинки?","Снег или лед впереди","Стоп","Школьная зона","Обгон запрещен","Снег или лед впереди"
"Какой знак указывает на конец зоны остановки?","Белый прямоугольник с 'End No Stopping'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End No Stopping'"
"Что означает белая линия с 'Ped Xing'?","Пешеходный переход","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Пешеходный переход"
"Какой знак предупреждает о туннеле?","Желтый ромб с прямоугольником","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с прямоугольником"
"Что показывает зеленый прямоугольник с белой 'Phone'?","Телефон впереди","Предупреждение","Запрет","Остановка","Телефон впереди"
"Какой знак запрещает движение животных?","Красный круг с коровой и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с коровой и чертой"
"Что означает желтый ромб с изображением молнии?","Гроза впереди","Стоп","Школьная зона","Обгон запрещен","Гроза впереди"
"Какой знак указывает на конец зоны HOV?","Белый прямоугольник с 'End HOV'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End HOV'"
"Что показывает белая линия с 'Yield'?","Уступить дорогу","Остановиться полностью","Двигаться медленно","Поворот разрешен","Уступить дорогу"
"Какой знак предупреждает о повороте направо?","Желтый ромб с правой стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с правой стрелкой"
"Что означает зеленый прямоугольник с белой 'Camping'?","Кемпинг впереди","Предупреждение","Запрет","Остановка","Кемпинг впереди"
"Какой знак запрещает движение велосипедов?","Красный круг с велосипедом и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с велосипедом и чертой"
"Что показывает желтый ромб с изображением самолета?","Аэропорт впереди","Стоп","Школьная зона","Обгон запрещен","Аэропорт впереди"
"Какой знак указывает на конец зоны 'No U-turn'?","Белый прямоугольник с 'End No U-turn'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'End No U-turn'"
"Что означает белая линия с 'Crosswalk'?","Пешеходный переход","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Пешеходный переход"
"Какой знак предупреждает о повороте налево?","Желтый ромб с левой стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с левой стрелкой"
"Что показывает зеленый прямоугольник с белой 'Lodging'?","Гостиница впереди","Предупреждение","Запрет","Остановка","Гостиница впереди"
"Какой знак запрещает движение мопедов?","Красный круг с мопедом и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с мопедом и чертой"
